Repository,File Name,Class,Start Line,End Line,Displacement,Level
raw,generator.py,Simple Atributte,46,46,13,A2
raw,generator.py,Simple Atributte,52,52,4,A2
raw,generator.py,Simple Atributte,53,53,4,A2
raw,generator.py,Simple Atributte,54,54,4,A2
raw,generator.py,Simple Atributte,58,58,4,A2
raw,generator.py,Simple Atributte,63,63,11,A2
raw,generator.py,Simple Atributte,70,70,7,A2
raw,generator.py,Simple Atributte,113,113,11,A2
raw,generator.py,Simple Atributte,394,394,28,A2
raw,generator.py,Simple Atributte,395,395,27,A2
raw,generator.py,Simple Atributte,68,68,38,A2
raw,generator.py,Simple Atributte,70,70,7,A2
raw,generator.py,Simple Atributte,179,179,25,A2
raw,generator.py,Simple Atributte,212,212,21,A2
raw,generator.py,Simple Atributte,281,281,13,A2
raw,generator.py,Simple Atributte,282,282,13,A2
raw,generator.py,Simple Atributte,401,401,38,A2
raw,generator.py,Simple Atributte,404,404,27,A2
raw,generator.py,Simple Atributte,405,405,8,A2
raw,generator.py,Simple Atributte,39,39,12,A2
raw,generator.py,Simple Atributte,68,68,73,A2
raw,generator.py,Simple Atributte,96,96,22,A2
raw,generator.py,Simple Atributte,153,153,30,A2
raw,generator.py,Simple Atributte,221,221,38,A2
raw,generator.py,Simple Atributte,234,234,30,A2
raw,generator.py,Simple Atributte,285,285,12,A2
raw,generator.py,Simple Atributte,288,288,12,A2
raw,generator.py,Simple Atributte,304,304,27,A2
raw,generator.py,Simple Atributte,305,305,26,A2
raw,generator.py,Simple Atributte,308,308,12,A2
raw,generator.py,Simple Atributte,310,310,12,A2
raw,generator.py,Simple Atributte,386,386,22,A2
raw,generator.py,Simple Atributte,387,387,21,A2
raw,generator.py,Simple Atributte,388,388,22,A2
raw,generator.py,Simple Atributte,389,389,28,A2
raw,generator.py,Simple Atributte,405,405,8,A2
raw,generator.py,Simple Atributte,406,406,13,A2
raw,generator.py,Simple Atributte,407,407,12,A2
raw,generator.py,Simple Atributte,35,35,25,A2
raw,generator.py,Simple Atributte,72,72,13,A2
raw,generator.py,Simple Atributte,87,87,22,A2
raw,generator.py,Simple Atributte,88,88,23,A2
raw,generator.py,Simple Atributte,165,165,25,A2
raw,generator.py,Simple Atributte,232,232,16,A2
raw,generator.py,Simple Atributte,273,273,22,A2
raw,generator.py,Simple Atributte,273,273,43,A2
raw,generator.py,Simple Atributte,385,385,19,A2
raw,generator.py,Simple Atributte,39,39,25,A2
raw,generator.py,Simple Atributte,75,75,24,A2
raw,generator.py,Simple Atributte,85,85,23,A2
raw,generator.py,Simple Atributte,376,376,24,A2
raw,generator.py,Simple Atributte,72,72,35,A2
raw,generator.py,Simple Atributte,225,225,24,A2
raw,generator.py,Simple Atributte,72,72,35,A2
raw,generator.py,Simple Atributte,72,72,69,A2
raw,generator.py,Simple Atributte,107,107,27,A2
raw,generator.py,Simple Atributte,72,72,69,A2
raw,generator.py,Unary Operation,213,213,15,A1
raw,generator.py,Unary Operation,216,216,15,A1
raw,generator.py,Unary Operation,284,284,18,A1
raw,generator.py,Unary Operation,287,287,18,A1
raw,generator.py,Boolean Operation,179,179,11,A1
raw,generator.py,Boolean Operation,192,192,16,A1
raw,generator.py,Boolean Operation,364,364,7,A1
raw,generator.py,Boolean Operation,284,284,11,A1
raw,generator.py,Boolean Operation,287,287,11,A1
raw,generator.py,Boolean Operation,236,236,19,A1
raw,generator.py,Boolean Operation,238,238,19,A1
raw,generator.py,Subscript,206,206,47,A1
raw,generator.py,Subscript,251,251,40,A1
raw,generator.py,Subscript,260,260,52,A1
raw,generator.py,Subscript,269,269,90,A1
raw,generator.py,Subscript,182,182,87,A1
raw,generator.py,Subscript,207,207,13,A1
raw,generator.py,Subscript,206,206,52,A1
