Repository,File Name,Type,Name,Line,End Line,Complexity,Rank,Parent,Error
python-mini-projects,bot.py,class,MyBot,24,229,8,B,,
python-mini-projects,bot.py,method,on_friendship,183,211,6,B,,
python-mini-projects,bot.py,method,on_room_join,213,229,2,A,,
python-mini-projects,bot.py,function,main,232,235,1,A,,
python-mini-projects,bot.py,method,__init__,30,34,1,A,,
python-mini-projects,bot.py,method,on_ready,36,38,1,A,,
python-mini-projects,bot.py,method,on_login,174,181,1,A,,
python-mini-projects,extract_zip_files.py,function,extract,21,33,2,A,,
python-mini-projects,findstring.py,function,getfiles,10,30,6,B,,
python-mini-projects,main.py,class,PwdDisplay,6,57,3,A,,
python-mini-projects,main.py,method,__del__,52,57,3,A,,
python-mini-projects,main.py,method,__init__,7,15,2,A,,
python-mini-projects,main.py,method,get_ssid_pwd,28,36,2,A,,
python-mini-projects,main.py,method,display_password,38,50,2,A,,
python-mini-projects,main.py,method,export_xml,17,21,1,A,,
python-mini-projects,main.py,method,file_path,23,26,1,A,,
python-mini-projects,background_windows.py,function,setup,22,29,2,A,,
python-mini-projects,background_windows.py,function,is_64bit,9,10,1,A,,
python-mini-projects,background_windows.py,function,download,13,19,1,A,,
python-mini-projects,background_linux.py,function,download,9,15,1,A,,
python-mini-projects,background_linux.py,function,setup,18,22,1,A,,
python-mini-projects,moneycontrol_scrapper.py,function,scrap,27,42,4,A,,
python-mini-projects,moneycontrol_scrapper.py,function,setup,14,24,3,A,,
python-mini-projects,moneycontrol_scrapper.py,function,json_dump,45,48,1,A,,
python-mini-projects,progress_bar_ with_images_resizing.py,function,Resize_image,7,14,3,A,,
python-mini-projects,hangman.py,function,play,16,101,16,C,,
python-mini-projects,hangman.py,function,main,174,179,2,A,,
python-mini-projects,hangman.py,function,get_word,6,12,1,A,,
python-mini-projects,hangman.py,function,display_hangman,105,170,1,A,,
python-mini-projects,calculate.py,function,month_days,14,22,7,B,,
python-mini-projects,calculate.py,function,judge_leap_year,6,10,2,A,,
python-mini-projects,movieInfoScraper.py,function,getMovieDetails,7,82,11,C,,
python-mini-projects,model.py,function,generator,12,14,1,A,,
python-mini-projects,internet_connection_check.py,function,internet_connection_test,4,21,3,A,,
python-mini-projects,main.py,function,countdown,3,11,2,A,,
python-mini-projects,zipbruter.py,method,worker,33,51,4,A,,
python-mini-projects,zipbruter.py,class,ZipBruter,20,74,3,A,,
python-mini-projects,zipbruter.py,method,main,58,68,3,A,,
python-mini-projects,zipbruter.py,method,start_workers,53,56,2,A,,
python-mini-projects,zipbruter.py,method,read_wordlist,70,74,2,A,,
python-mini-projects,zipbruter.py,method,__init__,24,31,1,A,,
python-mini-projects,scrap-img.py,function,download_img,30,45,4,A,,
python-mini-projects,scrap-img.py,function,get_url,15,21,1,A,,
python-mini-projects,scrap-img.py,function,get_img_links,24,27,1,A,,
python-mini-projects,SpeakingDictionary.py,class,Speak,8,17,2,A,,
python-mini-projects,SpeakingDictionary.py,method,SpeakWord,9,17,1,A,,
python-mini-projects,Captcha_Genrator.py,function,verify,22,29,2,A,,
python-mini-projects,Captcha_Genrator.py,function,refresh,31,39,2,A,,
python-mini-projects,easy_cartoonify.py,function,find_the_image,9,18,4,A,,
python-mini-projects,watermark.py,function,watermark_photo,4,29,2,A,,
python-mini-projects,time_to_load_website.py,function,get_load_time,5,26,3,A,,
python-mini-projects,biling_system.py,method,bill_area,288,345,27,D,,
python-mini-projects,biling_system.py,class,Bill_App,7,420,6,B,,
python-mini-projects,biling_system.py,method,find_bill,360,371,5,A,,
python-mini-projects,biling_system.py,method,save_bill,348,357,2,A,,
python-mini-projects,biling_system.py,method,clear_data,374,414,2,A,,
python-mini-projects,biling_system.py,method,exit_app,417,420,2,A,,
python-mini-projects,biling_system.py,method,__init__,8,235,1,A,,
python-mini-projects,biling_system.py,method,total,238,275,1,A,,
python-mini-projects,biling_system.py,method,welcome_bill,278,285,1,A,,
python-mini-projects,space_bullet_shooter.py,function,is_collision,109,116,2,A,,
python-mini-projects,space_bullet_shooter.py,function,player,53,54,1,A,,
python-mini-projects,space_bullet_shooter.py,function,enemy,95,96,1,A,,
python-mini-projects,space_bullet_shooter.py,function,fire_bullet,101,104,1,A,,
python-mini-projects,space_bullet_shooter.py,function,showscore,125,127,1,A,,
python-mini-projects,space_bullet_shooter.py,function,game_over,133,136,1,A,,
python-mini-projects,space_bullet_shooter.py,function,final_score,140,142,1,A,,
python-mini-projects,space_bullet_shooter.py,function,author_name,148,151,1,A,,
python-mini-projects,proxytest.py,function,add_proxies_to_file,12,40,5,A,,
python-mini-projects,proxytest.py,function,test_proxy,43,75,5,A,,
python-mini-projects,proxytest.py,function,test_csv_file,86,103,3,A,,
python-mini-projects,proxytest.py,function,add_from_text_file,106,119,3,A,,
python-mini-projects,proxytest.py,function,test_single_proxy,78,83,1,A,,
python-mini-projects,cli.py,function,validate_proxy,10,20,2,A,,
python-mini-projects,cli.py,function,cli,24,25,1,A,,
python-mini-projects,cli.py,function,single,33,34,1,A,,
python-mini-projects,cli.py,function,csv_file,41,42,1,A,,
python-mini-projects,cli.py,function,add_from_txt_file,50,51,1,A,,
python-mini-projects,main.py,function,coin,32,43,2,A,,
python-mini-projects,main.py,function,error_callback,15,16,1,A,,
python-mini-projects,main.py,function,start,19,29,1,A,,
python-mini-projects,main.py,function,main,46,69,1,A,,
python-mini-projects,EasyVideoPlayer.py,function,PlayVideo,40,57,6,B,,
python-mini-projects,EasyVideoPlayer.py,function,find_the_video,15,24,4,A,,
python-mini-projects,downloader.py,function,get_driver,12,32,1,A,,
python-mini-projects,downloader.py,function,download_article,35,41,1,A,,
python-mini-projects,cc.py,function,function1,196,211,3,A,,
python-mini-projects,split_files.py,class,Split_Files,6,50,5,A,,
python-mini-projects,split_files.py,method,split_data,28,50,5,A,,
python-mini-projects,split_files.py,method,__init__,10,26,3,A,,
python-mini-projects,check_connectivity.py,function,main,9,21,4,A,,
python-mini-projects,duplicatefileremover.py,function,hashFile,7,17,2,A,,
python-mini-projects,stopwatch.py,function,Reset,54,63,2,A,,
python-mini-projects,stopwatch.py,function,counter_label,7,31,1,A,,
python-mini-projects,stopwatch.py,function,count,8,28,3,A,counter_label,
python-mini-projects,stopwatch.py,function,Start,35,41,1,A,,
python-mini-projects,stopwatch.py,function,Stop,45,50,1,A,,
python-mini-projects,tic_tac_toe.py,function,check_win,18,21,3,A,,
python-mini-projects,app.py,function,main,93,138,9,B,,
python-mini-projects,app.py,function,readCsv,42,56,4,A,,
python-mini-projects,app.py,function,writeCsv,59,79,4,A,,
python-mini-projects,app.py,function,processCsv,82,90,2,A,,
python-mini-projects,app.py,function,parse_args,12,39,1,A,,
python-mini-projects,test.py,class,args,10,11,1,A,,
python-mini-projects,model.py,class,Model,6,131,11,C,,
python-mini-projects,model.py,method,__init__,7,131,10,B,,
python-mini-projects,comparison.py,function,eval_rouges,9,43,1,A,,
python-mini-projects,train.py,class,args,10,11,1,A,,
python-mini-projects,summarize.py,function,summarize,11,30,3,A,,
python-mini-projects,utils.py,function,build_dataset,59,80,13,C,,
python-mini-projects,utils.py,function,build_dict,25,56,6,B,,
python-mini-projects,utils.py,function,get_text_list,17,22,4,A,,
python-mini-projects,utils.py,function,batch_iter,83,92,3,A,,
python-mini-projects,utils.py,function,get_init_embedding,95,118,3,A,,
python-mini-projects,utils.py,function,clean_str,12,14,1,A,,
python-mini-projects,store_emails.py,function,write_to_csv,44,96,12,C,,
python-mini-projects,store_emails.py,function,main,98,114,2,A,,
python-mini-projects,store_emails.py,function,connect_to_mailbox,24,35,1,A,,
python-mini-projects,store_emails.py,function,get_text,39,41,1,A,,
python-mini-projects,conversion.py,class,obj,1,4,4,A,,
python-mini-projects,conversion.py,method,__init__,2,4,3,A,,
python-mini-projects,main.py,function,fetch,15,82,17,C,,
python-mini-projects,main.py,function,main,14,50,2,A,,
python-mini-projects,main.py,function,banner,8,11,1,A,,
python-mini-projects,InstgramProfile.py,function,main,7,41,2,A,,
python-mini-projects,profilepic.py,function,pp_download,8,59,13,C,,
python-mini-projects,Compute_IoU.py,function,Cal_IoU,3,28,1,A,,
python-mini-projects,todo.py,function,done,46,65,5,A,,
python-mini-projects,todo.py,function,add,31,41,4,A,,
python-mini-projects,todo.py,function,tasks,17,26,3,A,,
python-mini-projects,todo.py,function,todo,5,13,2,A,,
python-mini-projects,app.py,function,index,22,34,3,A,,
python-mini-projects,app.py,function,update,49,62,3,A,,
python-mini-projects,app.py,function,delete,38,45,2,A,,
python-mini-projects,app.py,class,Todo,11,18,2,A,,
python-mini-projects,app.py,method,__repr__,17,18,1,A,,
