case,project,file,file_name,class,start_line,end_line,displacement,level,level_num,source_file
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,19,19,28,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,12,12,32,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,14,14,16,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,20,20,11,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,20,20,63,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,13,13,15,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Subscript,13,13,67,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,25,25,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,26,26,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Assigment with sum (total = total + 1),6,6,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,7,7,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Assignment,18,18,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
