Repository,File Name,Class,Start Line,End Line,Displacement,Level
06-String-Concatenation,test.py,Alias,1,1,24,A1
06-String-Concatenation,test.py,Alias,4,4,7,A1
06-String-Concatenation,test.py,Alias,22,22,20,A1
06-String-Concatenation,test.py,Alias,27,27,20,A1
06-String-Concatenation,test.py,Alias,32,32,11,A1
06-String-Concatenation,test.py,Alias,9,9,24,A1
06-String-Concatenation,test.py,Alias,16,16,24,A1
06-String-Concatenation,test.py,Exception --> try/except,8,11,4,B1
06-String-Concatenation,test.py,Exception --> try/except,15,18,4,B1
06-String-Concatenation,test.py,Exception --> try/except,33,36,4,B1
06-String-Concatenation,test.py,Except Handler,10,11,4,A1
06-String-Concatenation,test.py,Except Handler,17,18,4,A1
06-String-Concatenation,test.py,Except Handler,35,36,4,A1
06-String-Concatenation,test.py,Function,7,11,0,A1
06-String-Concatenation,test.py,Function,14,18,0,A1
06-String-Concatenation,test.py,Function,21,23,0,A1
06-String-Concatenation,test.py,Function,26,28,0,A1
06-String-Concatenation,test.py,Function,31,36,0,A1
06-String-Concatenation,test.py,Function,39,41,0,A1
06-String-Concatenation,solution.hide.py,Print,8,8,0,A1
06-String-Concatenation,solution.hide.py,Simple Assignment,3,3,0,A1
06-String-Concatenation,solution.hide.py,Simple Assignment,4,4,0,A1
06-String-Concatenation,solution.hide.py,Assigment with sum (total = total + 1),7,7,0,A1
06-String-Concatenation,app.py,Print,6,6,0,A1
06-String-Concatenation,app.py,Assigment with sum (total = total + 1),5,5,0,A1
09-Random-Numbers,test.py,Files --> 'open' call function,15,15,9,A2
09-Random-Numbers,test.py,Files --> 'read' call function,16,16,18,A2
09-Random-Numbers,test.py,'range' call function,31,31,17,A2
09-Random-Numbers,test.py,'range' call function,44,44,17,A2
09-Random-Numbers,test.py,Simple Atributte,3,3,0,A2
09-Random-Numbers,test.py,Simple Atributte,3,3,22,A2
09-Random-Numbers,test.py,Simple Atributte,12,12,1,A2
09-Random-Numbers,test.py,Simple Atributte,21,21,1,A2
09-Random-Numbers,test.py,Simple Atributte,28,28,1,A2
09-Random-Numbers,test.py,Simple Atributte,38,38,1,A2
09-Random-Numbers,test.py,Simple Atributte,12,12,1,A2
09-Random-Numbers,test.py,Simple Atributte,21,21,1,A2
09-Random-Numbers,test.py,Simple Atributte,28,28,1,A2
09-Random-Numbers,test.py,Simple Atributte,38,38,1,A2
09-Random-Numbers,test.py,Simple Atributte,14,14,11,A2
09-Random-Numbers,test.py,Simple Atributte,16,16,18,A2
09-Random-Numbers,test.py,Simple Atributte,18,18,16,A2
09-Random-Numbers,test.py,Simple Atributte,24,24,15,A2
09-Random-Numbers,test.py,Simple Atributte,43,43,17,A2
09-Random-Numbers,test.py,Simple Atributte,14,14,11,A2
