case,project,file,file_name,type,name,complexity,radon_grade,radon_grade_num,lineno,endline,col_offset,parent,closure_depth,source_file
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Terminal_Based_Hangman_Game/hangman.py,hangman.py,function,display_hangman,1,A,1,105,170,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Calculate_age/calculate.py,calculate.py,function,month_days,7,B,2,14,22,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Calculate_age/calculate.py,calculate.py,function,judge_leap_year,2,A,1,6,10,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Movie Information Scraper/movieInfoScraper.py,movieInfoScraper.py,function,getMovieDetails,11,C,3,7,82,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Drowsiness detection/model.py,model.py,function,generator,1,A,1,12,14,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Internet_connection_check/internet_connection_check.py,internet_connection_check.py,function,internet_connection_test,3,A,1,4,21,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Countdown_timer/main.py,main.py,function,countdown,2,A,1,3,11,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Zip_Bruter/zipbruter.py,zipbruter.py,method,worker,4,A,1,33,51,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Zip_Bruter/zipbruter.py,zipbruter.py,class,ZipBruter,3,A,1,20,74,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Zip_Bruter/zipbruter.py,zipbruter.py,method,main,3,A,1,58,68,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Zip_Bruter/zipbruter.py,zipbruter.py,method,start_workers,2,A,1,53,56,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Zip_Bruter/zipbruter.py,zipbruter.py,method,read_wordlist,2,A,1,70,74,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Zip_Bruter/zipbruter.py,zipbruter.py,method,__init__,1,A,1,24,31,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Download_images_from_website/scrap-img.py,scrap-img.py,function,download_img,4,A,1,30,45,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Download_images_from_website/scrap-img.py,scrap-img.py,function,get_url,1,A,1,15,21,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Download_images_from_website/scrap-img.py,scrap-img.py,function,get_img_links,1,A,1,24,27,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Speaking_Dictionary/SpeakingDictionary.py,SpeakingDictionary.py,class,Speak,2,A,1,8,17,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
